input,time,cpu,program
8,0.000002,M7,FFT
16,0.000005,M7,FFT
32,0.000013,M7,FFT
64,0.000031,M7,FFT
128,0.000072,M7,FFT
256,0.000164,M7,FFT
512,0.000366,M7,FFT
1024,0.000811,M7,FFT
2048,0.001782,M7,FFT
4096,0.003882,M7,FFT
