input,time,cpu,program
31488,57.959,A72,AES
31616,58.37,A72,AES
31744,58.712,A72,AES
31872,58.63,A72,AES
32000,58.894,A72,AES
32128,59.113,A72,AES
32256,59.461,A72,AES
32384,59.6,A72,AES
32512,59.935,A72,AES
32640,60.151,A72,AES
32768,60.313,A72,AES
32896,60.711,A72,AES
33024,60.896,A72,AES
33152,61.209,A72,AES
33280,61.34,A72,AES
33408,61.758,A72,AES
33536,61.916,A72,AES
33664,62.112,A72,AES
33792,62.652,A72,AES
33920,62.716,A72,AES
34048,63.108,A72,AES
34176,63.455,A72,AES
34304,63.72,A72,AES
34432,63.671,A72,AES
34560,63.607,A72,AES
34688,63.932,A72,AES
34816,64.114,A72,AES
34944,64.474,A72,AES
35072,64.952,A72,AES
35200,65.025,A72,AES
35328,65.446,A72,AES
35456,65.629,A72,AES
35584,65.634,A72,AES
35712,65.906,A72,AES
35840,66.161,A72,AES
35968,66.33,A72,AES
36096,66.465,A72,AES
36224,67.148,A72,AES
36352,67.298,A72,AES
36480,67.843,A72,AES
36608,67.587,A72,AES
36736,67.692,A72,AES
36864,67.994,A72,AES
36992,68.244,A72,AES
37120,68.498,A72,AES
37248,68.732,A72,AES
37376,68.896,A72,AES
37504,69.311,A72,AES
37632,69.268,A72,AES
37760,69.504,A72,AES
37888,69.735,A72,AES
38016,69.96,A72,AES
38144,70.583,A72,AES
38272,71.033,A72,AES
38400,70.994,A72,AES
38528,71.023,A72,AES
38656,71.402,A72,AES
38784,71.778,A72,AES
38912,71.953,A72,AES
39040,71.98,A72,AES
39168,72.386,A72,AES
39296,72.429,A72,AES
39424,72.538,A72,AES
39552,73.022,A72,AES
39680,73.387,A72,AES
39808,73.656,A72,AES
39936,73.494,A72,AES
40064,73.947,A72,AES
40192,74.042,A72,AES
40320,74.221,A72,AES
40448,74.594,A72,AES
40576,74.656,A72,AES
40704,74.96,A72,AES
40832,75.206,A72,AES
40960,75.591,A72,AES
41088,76.184,A72,AES
41216,76.02,A72,AES
41344,76.231,A72,AES
41472,76.93,A72,AES
41600,77.055,A72,AES
41728,77.217,A72,AES
41856,77.622,A72,AES
41984,78.012,A72,AES
42112,77.934,A72,AES
42240,78.106,A72,AES
42368,78.121,A72,AES
42496,78.803,A72,AES
42624,78.696,A72,AES
42752,79.053,A72,AES
42880,79.014,A72,AES
43008,79.229,A72,AES
43136,79.409,A72,AES
43264,79.911,A72,AES
43392,80.334,A72,AES
43520,80.398,A72,AES
43648,80.317,A72,AES
43776,80.629,A72,AES
43904,81.147,A72,AES
44032,81.426,A72,AES
44160,81.749,A72,AES
44288,81.754,A72,AES
44416,81.852,A72,AES
44544,81.984,A72,AES
44672,82.96,A72,AES
44800,82.883,A72,AES
44928,82.903,A72,AES
45056,83.322,A72,AES
45184,83.265,A72,AES
45312,83.607,A72,AES
45440,84.032,A72,AES
45568,83.867,A72,AES
45696,84.151,A72,AES
45824,84.383,A72,AES
45952,85.174,A72,AES
46080,85.401,A72,AES
46208,85.604,A72,AES
46336,85.745,A72,AES
46464,85.486,A72,AES
46592,86.089,A72,AES
46720,85.985,A72,AES
46848,86.27,A72,AES
46976,86.721,A72,AES
47104,87.187,A72,AES
47232,87.233,A72,AES
47360,87.376,A72,AES
47488,87.601,A72,AES
47616,87.682,A72,AES
47744,88.095,A72,AES
47872,88.245,A72,AES
48000,88.626,A72,AES
48128,89.287,A72,AES
48256,88.98,A72,AES
48384,89.063,A72,AES
48512,89.951,A72,AES
48640,89.741,A72,AES
48768,90.092,A72,AES
48896,89.962,A72,AES
49024,90.274,A72,AES
49152,90.542,A72,AES
49280,90.813,A72,AES
49408,91.224,A72,AES
49536,91.268,A72,AES
49664,91.407,A72,AES
49792,91.686,A72,AES
49920,91.953,A72,AES
50048,92.84,A72,AES
50176,92.913,A72,AES
50304,92.75,A72,AES
50432,92.957,A72,AES
50560,93.646,A72,AES
50688,94.308,A72,AES
