input,time_complexity,time,cpu,arch,program,cache_on
163,n^3,1.183786,Cortex-R5F,arm32,KF,1
172,n^3,1.161283,Cortex-R5F,arm32,KF,1
181,n^3,1.483807,Cortex-R5F,arm32,KF,1
190,n^3,1.744202,Cortex-R5F,arm32,KF,1
199,n^3,2.161645,Cortex-R5F,arm32,KF,1
208,n^3,5.075914,Cortex-R5F,arm32,KF,1
217,n^3,2.934311,Cortex-R5F,arm32,KF,1
226,n^3,3.191284,Cortex-R5F,arm32,KF,1
235,n^3,4.059537,Cortex-R5F,arm32,KF,1
244,n^3,3.658477,Cortex-R5F,arm32,KF,1
253,n^3,5.19213,Cortex-R5F,arm32,KF,1
262,n^3,5.380239,Cortex-R5F,arm32,KF,1
271,n^3,7.274421,Cortex-R5F,arm32,KF,1
280,n^3,10.033992,Cortex-R5F,arm32,KF,1
289,n^3,7.955638,Cortex-R5F,arm32,KF,1
298,n^3,8.678739,Cortex-R5F,arm32,KF,1
307,n^3,11.109112,Cortex-R5F,arm32,KF,1
316,n^3,9.642415,Cortex-R5F,arm32,KF,1
325,n^3,12.075231,Cortex-R5F,arm32,KF,1
334,n^3,14.274839,Cortex-R5F,arm32,KF,1
343,n^3,15.045465,Cortex-R5F,arm32,KF,1
352,n^3,29.343232,Cortex-R5F,arm32,KF,1
361,n^3,18.57687,Cortex-R5F,arm32,KF,1
370,n^3,19.357707,Cortex-R5F,arm32,KF,1
379,n^3,20.575337,Cortex-R5F,arm32,KF,1
388,n^3,21.183981,Cortex-R5F,arm32,KF,1
397,n^3,23.639529,Cortex-R5F,arm32,KF,1
406,n^3,28.409492,Cortex-R5F,arm32,KF,1
415,n^3,32.127414,Cortex-R5F,arm32,KF,1
424,n^3,47.819686,Cortex-R5F,arm32,KF,1
433,n^3,32.935847,Cortex-R5F,arm32,KF,1
442,n^3,39.742754,Cortex-R5F,arm32,KF,1
451,n^3,42.160239,Cortex-R5F,arm32,KF,1
460,n^3,44.070956,Cortex-R5F,arm32,KF,1
469,n^3,50.330515,Cortex-R5F,arm32,KF,1
478,n^3,56.19354,Cortex-R5F,arm32,KF,1
487,n^3,51.40102,Cortex-R5F,arm32,KF,1
496,n^3,82.85667,Cortex-R5F,arm32,KF,1
505,n^3,69.367827,Cortex-R5F,arm32,KF,1
514,n^3,74.229162,Cortex-R5F,arm32,KF,1
523,n^3,73.454895,Cortex-R5F,arm32,KF,1
532,n^3,80.068017,Cortex-R5F,arm32,KF,1
541,n^3,92.131263,Cortex-R5F,arm32,KF,1
550,n^3,95.540406,Cortex-R5F,arm32,KF,1
559,n^3,98.85795,Cortex-R5F,arm32,KF,1
568,n^3,126.284206,Cortex-R5F,arm32,KF,1
577,n^3,105.395901,Cortex-R5F,arm32,KF,1
586,n^3,117.73817,Cortex-R5F,arm32,KF,1
595,n^3,115.849887,Cortex-R5F,arm32,KF,1
604,n^3,131.113582,Cortex-R5F,arm32,KF,1
613,n^3,141.579892,Cortex-R5F,arm32,KF,1
622,n^3,148.008884,Cortex-R5F,arm32,KF,1
631,n^3,150.742195,Cortex-R5F,arm32,KF,1
640,n^3,172.451253,Cortex-R5F,arm32,KF,1
649,n^3,167.29404,Cortex-R5F,arm32,KF,1
658,n^3,176.247795,Cortex-R5F,arm32,KF,1
667,n^3,189.498635,Cortex-R5F,arm32,KF,1
676,n^3,198.769796,Cortex-R5F,arm32,KF,1
